AD_Reference_ID[Name],Value,Name,Description,IsActive,EntityType,ValidFrom,ValidTo,_ERROR_
ZZLkpQualityAssuranceBody,694,AgriSETA,1,Y,SDR,,,""
ZZLkpQualityAssuranceBody,557,BANKSETA,2,,SDR,,,""
ZZLkpQualityAssuranceBody,755,CATHSSETA,3,,SDR,,,""
ZZLkpQualityAssuranceBody,577,CETA,4,,SDR,,,""
ZZLkpQualityAssuranceBody,621,CHE,5,,SDR,,,""
ZZLkpQualityAssuranceBody,559,CHIETA,6,,SDR,,,""
ZZLkpQualityAssuranceBody,581,ETDP,7,,SDR,,,""
ZZLkpQualityAssuranceBody,585,FASSET,8,,SDR,,,""
ZZLkpQualityAssuranceBody,,FETMIS,9,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,589,FIETA,10,,SDR,,,""
ZZLkpQualityAssuranceBody,587,FOODBEV,11,,SDR,,,""
ZZLkpQualityAssuranceBody,754,FPMSETA,12,,SDR,,,""
ZZLkpQualityAssuranceBody,591,HWSETA,13,,SDR,,,""
ZZLkpQualityAssuranceBody,,IEB,14,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,595,INSETA,15,,SDR,,,""
ZZLkpQualityAssuranceBody,692,HPCSA,16,,SDR,,,""
ZZLkpQualityAssuranceBody,597,LGSETA,17,,SDR,,,""
ZZLkpQualityAssuranceBody,599,MERSETA,18,,SDR,,,""
ZZLkpQualityAssuranceBody,756,MICT,19,,SDR,,,""
ZZLkpQualityAssuranceBody,651,SAICA,20,,SDR,,,""
ZZLkpQualityAssuranceBody,561,CTFL,47,,SDR,,,""
ZZLkpQualityAssuranceBody,,DHET,48,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,,DHET SETA-support,49,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,,DIDTETA,50,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,583,ESETA,51,,SDR,,,""
ZZLkpQualityAssuranceBody,,EWSETA,53,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,,Indlela NAMB,54,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,593,ISETT,55,,SDR,,,""
ZZLkpQualityAssuranceBody,601,MAPPP-SETA,56,,SDR,,,""
ZZLkpQualityAssuranceBody,629,MQA,57,,SDR,,,""
ZZLkpQualityAssuranceBody,637,PAB,58,,SDR,,,""
ZZLkpQualityAssuranceBody,607,PSETA,59,,SDR,,,""
ZZLkpQualityAssuranceBody,,QCTO,60,,SDR,,,"Fill mandatory fields:   / Value"
ZZLkpQualityAssuranceBody,639,SABPP,61,,SDR,,,""
ZZLkpQualityAssuranceBody,657,SANC,62,,SDR,,,""
ZZLkpQualityAssuranceBody,631,SAPC,63,,SDR,,,""
ZZLkpQualityAssuranceBody,695,SASSETA,64,,SDR,,,""
ZZLkpQualityAssuranceBody,611,SERVICES SETA,65,,SDR,,,""
ZZLkpQualityAssuranceBody,615,TETA,66,,SDR,,,""
ZZLkpQualityAssuranceBody,613,THETA,67,,SDR,,,""
ZZLkpQualityAssuranceBody,541,UMALUSI,68,,SDR,,,""
ZZLkpQualityAssuranceBody,617,W&RSETA,69,,SDR,,,""
